CC Number,Date,Time,Accident Type,New Georeferenced Column,Month_Year,Latitude,Longitude,Hour
20CS00157009,2020-09-27,9/30/2020 10:14:00 PM,6,"(39.2676, -76.62043)",2020-09,39.2676,-76.62043,22.0
20CS00156465,2020-09-26,10/5/2020 5:17:00 PM,6,"(39.209686, -76.540411)",2020-09,39.209686,-76.540411,17.0
20CS00058239,2020-04-10,4/14/2020 7:46:00 AM,3,"(39.270763, -76.655791)",2020-04,39.270763,-76.655791,7.0
20CS00308472,2020-05-15,5/18/2020 11:15:00 AM,6,"(39.00975549, -76.40438973)",2020-05,39.00975549,-76.40438973,11.0
20CS00070807,2020-04-29,5/2/2020 1:57:00 PM,6,"(39.25679064, -76.56957327)",2020-04,39.25679064,-76.56957327,13.0
20CS00105989,2020-06-26,6/26/2020 1:01:00 PM,3,"(39.29423, -76.53154)",2020-06,39.29423,-76.53154,13.0
20CS00104071,2020-06-23,6/24/2020 12:14:00 PM,6,"(39.2534, -76.5716)",2020-06,39.2534,-76.5716,12.0
20CS00038781,2020-03-09,3/10/2020 5:22:00 AM,6,"(39.29283717, -76.55309824)",2020-03,39.29283717,-76.55309824,5.0
P2000024408,2020-04-23,4/24/2020 7:14:00 PM,6,"(39.1862299, -76.68799742)",2020-04,39.1862299,-76.68799742,19.0
20B000264,2020-06-01,6/1/2020 8:38:00 AM,6,"(39.18369726, -76.67119713)",2020-06,39.18369726,-76.67119713,8.0
20IR000474,2020-05-04,5/7/2020 1:49:00 AM,6,"(39.12788398, -77.12028346)",2020-05,39.12788398,-77.12028346,1.0
20CS00099925,2020-06-16,6/17/2020 12:29:00 PM,6,"(39.2846848, -76.5353104)",2020-06,39.2846848,-76.5353104,12.0
20CS00110505,2020-07-03,7/3/2020 4:18:00 PM,6,"(38.36268, -76.9632)",2020-07,38.36268,-76.9632,16.0
20CS00039261,2020-03-10,3/29/2020 10:30:00 AM,6,"(39.267, -76.66494)",2020-03,39.267,-76.66494,10.0
20CS00074786,2020-05-06,5/6/2020 12:30:00 PM,6,"(39.281244, -76.55158)",2020-05,39.281244,-76.55158,12.0
20CS00106023,2020-06-26,7/1/2020 2:30:00 PM,3,"(39.268513, -76.628579)",2020-06,39.268513,-76.628579,14.0
20CS00109546,2020-07-02,7/2/2020 10:33:00 AM,6,"(39.28306, -76.54957)",2020-07,39.28306,-76.54957,10.0
20CS00097564,2020-06-12,6/12/2020 2:48:00 PM,6,"(39.00365, -76.4012)",2020-06,39.00365,-76.4012,14.0
20CS00039952,2020-03-11,3/11/2020 7:29:00 AM,6,"(39.26365812, -76.56625887)",2020-03,39.26365812,-76.56625887,7.0
20CS00052640,2020-04-01,4/13/2020 8:44:00 PM,6,"(39.296841, -76.5505)",2020-04,39.296841,-76.5505,20.0
20CS00082308,2020-05-18,5/19/2020 3:50:00 PM,6,"(39.27943482, -76.55334504)",2020-05,39.27943482,-76.55334504,15.0
20CS00087630,2020-05-26,5/30/2020 12:30:00 PM,6,"(39.2847, -76.5352)",2020-05,39.2847,-76.5352,12.0
20CS00091998,2020-06-03,6/3/2020 3:50:00 AM,6,"(39.31542879, -76.53763785)",2020-06,39.31542879,-76.53763785,3.0
20CS00094604,2020-06-07,6/9/2020 11:35:00 AM,6,"(39.00616918, -76.40280602)",2020-06,39.00616918,-76.40280602,11.0
20CS00049092,2020-03-27,3/28/2020 5:30:00 PM,3,"(39.26514, -76.596195)",2020-03,39.26514,-76.596195,17.0
20CS00042199,2020-03-15,3/15/2020 6:11:00 PM,6,"(39.01980036, -76.41460168)",2020-03,39.01980036,-76.41460168,18.0
20CS00114265,2020-07-09,7/15/2020 7:30:00 PM,6,"(39.233408, -76.62022472)",2020-07,39.233408,-76.62022472,19.0
20CS00047411,2020-03-24,4/1/2020 4:51:00 PM,6,"(39.08878, -76.99908)",2020-03,39.08878,-76.99908,16.0
20CS00042035,2020-03-15,3/19/2020 3:01:00 AM,6,"(39.08028378, -76.89961561)",2020-03,39.08028378,-76.89961561,3.0
20CS00106969,2020-06-28,6/28/2020 12:00:00 PM,6,"(39.205, -76.5646)",2020-06,39.205,-76.5646,12.0
20CS00050901,2020-03-30,3/31/2020 1:59:00 PM,6,"(39.2128362, -76.5336226)",2020-03,39.2128362,-76.5336226,13.0
20CS00040678,2020-03-12,3/13/2020 11:18:00 AM,6,"(39.27067237, -76.65577495)",2020-03,39.27067237,-76.65577495,11.0
20CS00093829,2020-06-06,6/9/2020 12:05:00 AM,6,"(39.06652, -76.88947)",2020-06,39.06652,-76.88947,0.0
20CS00071858,2020-05-01,5/1/2020 8:00:00 AM,6,"(39.01276244, -76.40934403)",2020-05,39.01276244,-76.40934403,8.0
20CS00077821,2020-05-11,5/11/2020 9:24:00 AM,6,"(39.26264, -76.56898)",2020-05,39.26264,-76.56898,9.0
20CS00097718,2020-06-12,6/12/2020 8:15:00 PM,6,"(39.31053946, -76.54102236)",2020-06,39.31053946,-76.54102236,20.0
20CS00089788,2020-05-29,5/30/2020 4:21:00 PM,3,"(38.9818, -76.3327)",2020-05,38.9818,-76.3327,16.0
20CS00095704,2020-06-09,6/9/2020 12:05:00 PM,6,"(38.9829738, -76.33512637)",2020-06,38.9829738,-76.33512637,12.0
20CS00041529,2020-03-13,3/15/2020 11:50:00 PM,6,"(39.26643, -76.66633)",2020-03,39.26643,-76.66633,23.0
20CS00049594,2020-03-28,3/28/2020 10:40:00 AM,6,"(39.28453, -76.53865)",2020-03,39.28453,-76.53865,10.0
20CS00068633,2020-04-26,4/26/2020 9:53:00 AM,6,"(39.2846, -76.537)",2020-04,39.2846,-76.537,9.0
20CS00113699,2020-07-08,7/14/2020 7:11:00 PM,6,"(39.08730843, -77.012086)",2020-07,39.08730843,-77.012086,19.0
20CS00085449,2020-05-23,5/23/2020 7:21:00 AM,6,"(39.2829, -76.6191)",2020-05,39.2829,-76.6191,7.0
20CS00103331,2020-06-22,6/25/2020 11:00:00 AM,6,"(39.247493, -76.575692)",2020-06,39.247493,-76.575692,11.0
20CS00114602,2020-07-10,7/10/2020 11:40:00 AM,3,"(39.27072483, -76.64215089)",2020-07,39.27072483,-76.64215089,11.0
20CS00052725,2020-04-01,4/2/2020 6:26:00 AM,3,"(38.99058419, -76.37113942)",2020-04,38.99058419,-76.37113942,6.0
20CS00065170,2020-04-20,4/21/2020 6:15:00 PM,6,"(39.56818514, -76.07264842)",2020-04,39.56818514,-76.07264842,18.0
P2000037075,2020-06-29,7/1/2020 12:01:00 AM,6,"(39.18678196, -76.67343941)",2020-06,39.18678196,-76.67343941,0.0
20CS00043196,2020-03-17,3/18/2020 6:55:00 AM,6,"(39.26336975, -76.56716424)",2020-03,39.26336975,-76.56716424,6.0
20CS00099907,2020-06-16,6/16/2020 11:42:00 AM,3,"(39.219, -76.665)",2020-06,39.219,-76.665,11.0
20CS00090694,2020-05-31,6/3/2020 2:37:00 PM,6,"(39.25911628, -76.67452524)",2020-05,39.25911628,-76.67452524,14.0
20CS00093166,2020-06-04,6/4/2020 10:02:00 PM,6,"(39.26945, -76.63248)",2020-06,39.26945,-76.63248,22.0
20CS00098405,2020-06-14,6/14/2020 12:04:00 AM,6,"(39.25376649, -76.5715416)",2020-06,39.25376649,-76.5715416,0.0
20CS00106239,2020-06-27,6/28/2020 12:15:00 AM,6,"(39.27989712, -76.55088815)",2020-06,39.27989712,-76.55088815,0.0
20CS00071581,2020-04-30,4/30/2020 5:35:00 PM,6,"(39.20924099, -76.54124272)",2020-04,39.20924099,-76.54124272,17.0
20CS00104852,2020-06-24,6/24/2020 4:45:00 PM,6,"(39.26713, -76.56068)",2020-06,39.26713,-76.56068,16.0
20CS00074883,2020-05-06,5/7/2020 4:04:00 PM,6,"(39.2872166, -76.5354021)",2020-05,39.2872166,-76.5354021,16.0
20CS00066135,2020-04-22,4/22/2020 7:58:00 AM,6,"(39.24255, -76.57943)",2020-04,39.24255,-76.57943,7.0
20CS00084846,2020-05-22,5/25/2020 8:12:00 AM,6,"(39.27075, -76.555899)",2020-05,39.27075,-76.555899,8.0
20CS00112411,2020-07-06,7/12/2020 8:15:00 PM,6,"(39.26145462, -76.5722299)",2020-07,39.26145462,-76.5722299,20.0
20CS00054826,2020-04-05,4/5/2020 5:54:00 AM,6,"(39.23613932, -76.49997239)",2020-04,39.23613932,-76.49997239,5.0
20CS00101276,2020-06-18,7/2/2020 10:47:00 PM,6,"(39.27157631, -76.6530715)",2020-06,39.27157631,-76.6530715,22.0
20CS00078732,2020-05-12,5/22/2020 2:55:00 PM,6,"(38.991477, -76.374914)",2020-05,38.991477,-76.374914,14.0
20CS00067295,2020-04-23,4/24/2020 8:27:00 PM,6,"(39.2390489, -76.7046554)",2020-04,39.2390489,-76.7046554,20.0
20CS00078587,2020-05-12,5/12/2020 8:47:00 AM,6,"(38.98280299, -76.33824532)",2020-05,38.98280299,-76.33824532,8.0
20CS00073410,2020-05-04,5/4/2020 7:19:00 AM,6,"(38.98031149, -76.32795496)",2020-05,38.98031149,-76.32795496,7.0
20CS00105216,2020-06-25,6/29/2020 9:12:00 AM,6,"(39.25195559, -76.5729203)",2020-06,39.25195559,-76.5729203,9.0
20CS00039008,2020-03-09,3/9/2020 1:35:00 PM,6,"(39.08595, -77.0201)",2020-03,39.08595,-77.0201,13.0
20CS00108182,2020-06-30,7/14/2020 1:47:00 PM,3,"(38.99048682, -76.36514517)",2020-06,38.99048682,-76.36514517,13.0
20CS00060762,2020-04-14,5/6/2020 2:29:00 PM,6,"(39.073795, -76.909389)",2020-04,39.073795,-76.909389,14.0
20CS00098571,2020-06-14,6/14/2020 7:48:00 AM,3,"(39.07379707, -76.92514375)",2020-06,39.07379707,-76.92514375,7.0
20CS00104287,2020-06-23,6/25/2020 7:00:00 PM,6,"(39.2661167, -76.666222)",2020-06,39.2661167,-76.666222,19.0
20CS00039651,2020-03-10,3/10/2020 4:39:00 PM,6,"(39.24101001, -76.58611111)",2020-03,39.24101001,-76.58611111,16.0
20CS00106134,2020-06-26,6/26/2020 6:57:00 PM,3,"(39.31597, -76.53364)",2020-06,39.31597,-76.53364,18.0
20CS00054095,2020-04-04,4/4/2020 5:35:00 AM,6,"(39.26903968, -76.55889096)",2020-04,39.26903968,-76.55889096,5.0
20IR000475,2020-05-05,5/5/2020 3:30:00 PM,6,"(39.25657491, -76.54701451)",2020-05,39.25657491,-76.54701451,15.0
20CS00109438,2020-07-02,7/2/2020 8:02:00 AM,6,"(39.2412174, -76.5872061)",2020-07,39.2412174,-76.5872061,8.0
20CS00066460,2020-04-22,4/24/2020 5:00:00 PM,6,"(38.36378, -76.98097)",2020-04,38.36378,-76.98097,17.0
20CS00097572,2020-06-12,6/15/2020 3:00:00 PM,6,"(39.3383332, -76.5152971)",2020-06,39.3383332,-76.5152971,15.0
20CS00101055,2020-06-18,6/18/2020 3:15:00 PM,6,"(39.267034, -76.605395)",2020-06,39.267034,-76.605395,15.0
20CS00071457,2020-04-30,4/30/2020 12:24:00 PM,6,"(39.20558, -76.61911)",2020-04,39.20558,-76.61911,12.0
20CS00107795,2020-06-29,7/1/2020 7:50:00 PM,6,"(39.28781912, -76.53710214)",2020-06,39.28781912,-76.53710214,19.0
20CS00043332,2020-03-17,3/18/2020 12:53:00 PM,6,"(39.2817, -76.5532)",2020-03,39.2817,-76.5532,12.0
20CS00047759,2020-03-24,4/1/2020 3:00:00 PM,6,"(39.31183922, -76.54104623)",2020-03,39.31183922,-76.54104623,15.0
20CS00090540,2020-05-30,5/31/2020 11:11:00 PM,6,"(39.267835, -76.66367557)",2020-05,39.267835,-76.66367557,23.0
P2000022585,2020-04-13,4/13/2020 11:50:00 AM,6,"(39.1966, -76.69133)",2020-04,39.1966,-76.69133,11.0
20CS00096413,2020-06-10,6/10/2020 1:51:00 PM,6,"(39.25910864, -76.67441696)",2020-06,39.25910864,-76.67441696,13.0
20CS00110354,2020-07-03,7/3/2020 12:50:00 PM,6,"(39.267013, -76.605959)",2020-07,39.267013,-76.605959,12.0
20CS00041091,2020-03-13,3/15/2020 4:30:00 AM,6,"(39.28471, -76.5361)",2020-03,39.28471,-76.5361,4.0
20IR000486,2020-05-14,5/14/2020 9:11:00 AM,6,"(39.02212467, -76.4234483)",2020-05,39.02212467,-76.4234483,9.0
20CS00090722,2020-05-31,5/31/2020 4:40:00 PM,3,"(39.29775385, -76.5306517)",2020-05,39.29775385,-76.5306517,16.0
20CS00045476,2020-03-21,3/21/2020 7:05:00 AM,6,"(39.2431152, -76.57860518)",2020-03,39.2431152,-76.57860518,7.0
P2000024672,2020-04-25,4/30/2020 3:27:00 PM,3,"(39.19172074, -76.67626093)",2020-04,39.19172074,-76.67626093,15.0
20CS00103540,2020-06-22,6/22/2020 4:01:00 PM,6,"(39.2776469, -76.5532229)",2020-06,39.2776469,-76.5532229,16.0
20CS00106474,2020-06-27,7/7/2020 11:50:00 AM,6,"(38.984847, -76.340375)",2020-06,38.984847,-76.340375,11.0
20CS00097554,2020-06-12,6/12/2020 2:05:00 PM,3,"(39.320675, -76.531151)",2020-06,39.320675,-76.531151,14.0
20CS00057026,2020-04-08,4/8/2020 4:55:00 PM,6,"(39.25147461, -76.57326011)",2020-04,39.25147461,-76.57326011,16.0
20CS00069245,2020-04-27,5/4/2020 11:59:00 AM,6,"(39.26424, -76.58853)",2020-04,39.26424,-76.58853,11.0
20CS00113249,2020-07-08,7/12/2020 3:15:00 AM,6,"(39.26673266, -76.56170009)",2020-07,39.26673266,-76.56170009,3.0
20CS00102309,2020-06-20,6/21/2020 3:10:00 PM,6,"(39.25333791, -76.57604131)",2020-06,39.25333791,-76.57604131,15.0
20CS00089831,2020-05-29,6/1/2020 6:25:00 PM,3,"(39.2668, -76.60917)",2020-05,39.2668,-76.60917,18.0
P2000019237,2020-03-11,3/30/2020 1:11:00 PM,6,"(39.18110304, -76.67112033)",2020-03,39.18110304,-76.67112033,13.0
20CS00096023,2020-06-09,6/10/2020 10:09:00 PM,6,"(39.2423, -76.5796)",2020-06,39.2423,-76.5796,22.0
20CS00050960,2020-03-30,4/4/2020 4:15:00 PM,6,"(39.26621376, -76.59837467)",2020-03,39.26621376,-76.59837467,16.0
20CS00091388,2020-06-01,6/1/2020 9:45:00 PM,6,"(39.2562229, -76.67685047)",2020-06,39.2562229,-76.67685047,21.0
20CS00081226,2020-05-16,5/21/2020 9:30:00 PM,3,"(39.26400174, -76.56629153)",2020-05,39.26400174,-76.56629153,21.0
20CS00072048,2020-05-01,6/5/2020 4:17:00 PM,6,"(39.2543971, -76.57115583)",2020-05,39.2543971,-76.57115583,16.0
20CS00106947,2020-06-28,6/28/2020 10:56:00 AM,6,"(39.22944, -76.51183)",2020-06,39.22944,-76.51183,10.0
20CS00078114,2020-05-11,5/11/2020 5:05:00 PM,6,"(39.27150227, -76.55575582)",2020-05,39.27150227,-76.55575582,17.0
20CS00102265,2020-06-20,6/20/2020 1:00:00 PM,6,"(39.122599, -77.08645)",2020-06,39.122599,-77.08645,13.0
20CS00063937,2020-04-18,4/23/2020 8:20:00 PM,3,"(39.2481131, -76.5748871)",2020-04,39.2481131,-76.5748871,20.0
20CS00096761,2020-06-11,6/12/2020 4:50:00 AM,6,"(39.284531, -76.540497)",2020-06,39.284531,-76.540497,4.0
20CS00098726,2020-06-14,6/15/2020 2:00:00 PM,6,"(39.00561892, -76.4024627)",2020-06,39.00561892,-76.4024627,14.0
20CS00069033,2020-04-27,4/27/2020 5:26:00 AM,3,"(39.26978026, -76.6566574)",2020-04,39.26978026,-76.6566574,5.0
20CS00091976,2020-06-03,6/3/2020 2:54:00 AM,3,"(39.28458791, -76.54214045)",2020-06,39.28458791,-76.54214045,2.0
P2000016639,2020-03-12,3/17/2020 1:11:00 AM,6,"(39.18534016, -76.67625222)",2020-03,39.18534016,-76.67625222,1.0
20CS00078497,2020-05-12,5/12/2020 4:58:00 AM,6,"(39.22995114, -76.510791)",2020-05,39.22995114,-76.510791,4.0
20CS00048735,2020-03-26,3/27/2020 11:00:00 PM,6,"(39.26345513, -76.59071354)",2020-03,39.26345513,-76.59071354,23.0
20CS00079675,2020-05-13,5/15/2020 9:37:00 PM,6,"(38.9955, -76.3919)",2020-05,38.9955,-76.3919,21.0
20CS00059874,2020-04-13,4/19/2020 7:33:00 AM,6,"(39.3039, -76.530713)",2020-04,39.3039,-76.530713,7.0
20CS00079433,2020-05-12,5/21/2020 5:35:00 PM,6,"(39.24228637, -76.52586845)",2020-05,39.24228637,-76.52586845,17.0
20CS00104924,2020-06-24,7/3/2020 7:05:00 PM,6,"(39.0745205, -76.88571092)",2020-06,39.0745205,-76.88571092,19.0
20CS00071438,2020-04-30,5/7/2020 10:30:00 AM,6,"(39.2411616, -76.58079602)",2020-04,39.2411616,-76.58079602,10.0
20CS00105022,2020-06-25,6/26/2020 2:14:00 AM,6,"(39.06634065, -76.88202032)",2020-06,39.06634065,-76.88202032,2.0
20CS00038798,2020-03-09,3/16/2020 5:50:00 AM,3,"(39.02105, -76.41004)",2020-03,39.02105,-76.41004,5.0
20CS00108436,2020-06-30,7/1/2020 10:29:00 PM,6,"(38.9823, -76.3356)",2020-06,38.9823,-76.3356,22.0
20CS00098227,2020-06-13,6/13/2020 4:19:00 PM,6,"(39.27999209, -76.55115058)",2020-06,39.27999209,-76.55115058,16.0
20CS00090695,2020-05-31,5/31/2020 2:41:00 PM,6,"(39.287473, -76.53344)",2020-05,39.287473,-76.53344,14.0
20CS00045377,2020-03-21,4/26/2020 7:19:00 AM,3,"(39.25859084, -76.67522093)",2020-03,39.25859084,-76.67522093,7.0
20CS00045411,2020-03-21,3/21/2020 9:14:00 AM,6,"(39.263, -76.668)",2020-03,39.263,-76.668,9.0
20CS00084999,2020-05-22,5/25/2020 2:26:00 PM,6,"(39.252096, -76.57265)",2020-05,39.252096,-76.57265,14.0
20CS00107772,2020-06-29,6/29/2020 7:04:00 PM,6,"(39.24832, -76.45491)",2020-06,39.24832,-76.45491,19.0
20CS00048872,2020-03-27,3/30/2020 5:26:00 AM,6,"(39.27129394, -76.65363866)",2020-03,39.27129394,-76.65363866,5.0
20CS00091014,2020-05-30,6/1/2020 9:15:00 AM,6,"(39.26478, -76.56328)",2020-05,39.26478,-76.56328,9.0
P2000039215,2020-07-04,7/9/2020 3:30:00 PM,6,"(39.180942, -76.669829)",2020-07,39.180942,-76.669829,15.0
20CS00056745,2020-04-08,4/8/2020 7:30:00 AM,6,"(39.25905476, -76.56819836)",2020-04,39.25905476,-76.56819836,7.0
20CS00093727,2020-06-05,6/5/2020 7:58:00 PM,6,"(39.2657, -76.5944)",2020-06,39.2657,-76.5944,19.0
20CS00041300,2020-03-13,3/13/2020 3:07:00 PM,6,"(39.26482602, -76.56264509)",2020-03,39.26482602,-76.56264509,15.0
P2000029951,2020-05-22,5/28/2020 8:46:00 PM,6,"(39.27136562, -76.65333785)",2020-05,39.27136562,-76.65333785,20.0
P2000031975,2020-06-03,6/4/2020 6:25:00 AM,3,"(39.17766993, -76.69051291)",2020-06,39.17766993,-76.69051291,6.0
20CS00096315,2020-06-10,6/13/2020 9:30:00 AM,6,"(39.26720515, -76.61985412)",2020-06,39.26720515,-76.61985412,9.0
20CS00041777,2020-03-14,3/15/2020 12:56:00 PM,3,"(39.28063, -76.55347)",2020-03,39.28063,-76.55347,12.0
20CS00049226,2020-03-27,4/2/2020 6:30:00 PM,3,"(38.9939, -76.3852)",2020-03,38.9939,-76.3852,18.0
20CS00113831,2020-07-09,7/13/2020 12:55:00 AM,3,"(39.28462154, -76.53552872)",2020-07,39.28462154,-76.53552872,0.0
20CS00115331,2020-07-11,7/14/2020 8:14:00 PM,6,"(39.26495, -76.56149)",2020-07,39.26495,-76.56149,20.0
P2000020624,2020-04-02,4/16/2020 1:05:00 AM,6,"(39.1923, -76.6925)",2020-04,39.1923,-76.6925,1.0
20CS00074218,2020-05-05,5/5/2020 2:34:00 PM,6,"(39.00617491, -76.40274523)",2020-05,39.00617491,-76.40274523,14.0
P2000038654,2020-07-06,7/9/2020 1:15:00 AM,6,"(39.18398291, -76.67439338)",2020-07,39.18398291,-76.67439338,1.0
20CS00098025,2020-06-13,6/13/2020 9:05:00 AM,6,"(39.00723708, -76.403374)",2020-06,39.00723708,-76.403374,9.0
20CS00107677,2020-06-29,6/29/2020 2:57:00 PM,3,"(39.23137543, -76.64623175)",2020-06,39.23137543,-76.64623175,14.0
20CS00043218,2020-03-17,3/17/2020 8:15:00 AM,6,"(39.294, -76.552)",2020-03,39.294,-76.552,8.0
20CS00059866,2020-04-13,4/13/2020 7:10:00 AM,6,"(39.267101, -76.668832)",2020-04,39.267101,-76.668832,7.0
20CS00040187,2020-03-11,3/17/2020 3:43:00 PM,6,"(39.00651, -76.40302)",2020-03,39.00651,-76.40302,15.0
20CS00050898,2020-03-30,3/30/2020 1:55:00 PM,6,"(39.27143, -76.655)",2020-03,39.27143,-76.655,13.0
20CS00083962,2020-05-21,6/26/2020 1:42:00 AM,6,"(39.11115851, -77.05864895)",2020-05,39.11115851,-77.05864895,1.0
20CS00049645,2020-03-28,3/29/2020 12:30:00 PM,6,"(39.3175354, -76.5339284)",2020-03,39.3175354,-76.5339284,12.0
20CS00104820,2020-06-24,6/26/2020 3:41:00 PM,6,"(39.1896173, -76.6130318)",2020-06,39.1896173,-76.6130318,15.0
20CS00093634,2020-06-05,6/5/2020 3:40:00 PM,3,"(39.25320133, -76.57214696)",2020-06,39.25320133,-76.57214696,15.0
20CS00066328,2020-04-22,4/22/2020 1:00:00 PM,6,"(39.2716, -76.6525)",2020-04,39.2716,-76.6525,13.0
20CS00090132,2020-05-30,5/31/2020 9:19:00 AM,6,"(39.00335313, -76.40104006)",2020-05,39.00335313,-76.40104006,9.0
20CS00095591,2020-06-09,6/14/2020 8:19:00 AM,6,"(39.25872393, -76.56820981)",2020-06,39.25872393,-76.56820981,8.0
20CS00091584,2020-06-02,6/2/2020 8:50:00 AM,6,"(39.00310596, -76.40081628)",2020-06,39.00310596,-76.40081628,8.0
20CS00073566,2020-05-04,5/5/2020 11:47:00 AM,6,"(39.00442982, -76.40166698)",2020-05,39.00442982,-76.40166698,11.0
20CS00100550,2020-06-17,6/17/2020 4:34:00 PM,3,"(39.233778, -76.663324)",2020-06,39.233778,-76.663324,16.0
20CS00110211,2020-07-03,7/3/2020 8:12:00 AM,6,"(39.26041754, -76.58018023)",2020-07,39.26041754,-76.58018023,8.0
20CS00065648,2020-04-21,4/24/2020 2:24:00 PM,3,"(39.28456993, -76.54464277)",2020-04,39.28456993,-76.54464277,14.0
20CS00103998,2020-06-23,6/23/2020 10:09:00 AM,3,"(39.206213, -76.593877)",2020-06,39.206213,-76.593877,10.0
20CS00066264,2020-04-17,5/6/2020 1:40:00 AM,6,"(39.073483, -76.925375)",2020-04,39.073483,-76.925375,1.0
20CS00040203,2020-03-11,3/11/2020 4:23:00 PM,3,"(39.0226413, -76.42489377)",2020-03,39.0226413,-76.42489377,16.0
P2000036356,2020-06-25,6/25/2020 1:45:00 PM,6,"(39.1483135, -76.6315857)",2020-06,39.1483135,-76.6315857,13.0
20CS00047766,2020-03-25,3/25/2020 12:59:00 PM,6,"(39.2851, -76.5353)",2020-03,39.2851,-76.5353,12.0
20CS00069888,2020-04-28,4/28/2020 9:40:00 AM,6,"(39.26501, -76.56263)",2020-04,39.26501,-76.56263,9.0
